UKPRN,Provider,Subject Code,Subject,Level,Question Number,Answered 1,Answered 2,Answered 3,Answered 4,Answered 5,N/A,Confidence interval-min,Agree,Confidence interval-max,Response,Sample Size
99999999,Brighton and Sussex Medical School,CAH01-01-02,Medicine (non-specific),First degree,Q01,0.0000,0.0216,0.0144,0.4748,0.4892,0,0.9118,0.9640,0.9858,139,150
99999999,Brighton and Sussex Medical School,CAH01-01-02,Medicine (non-specific),First degree,Q02,0.0000,0.0144,0.0072,0.4964,0.4820,0,0.9321,0.9784,0.9934,139,150
99999999,Brighton and Sussex Medical School,CAH01-01-02,Medicine (non-specific),First degree,Q03,0.0000,0.0072,0.0216,0.1079,0.8633,0,0.9218,0.9712,0.9898,139,150
99999999,Brighton and Sussex Medical School,CAH01-01-02,Medicine (non-specific),First degree,Q04,0.0144,0.0000,0.0647,0.2374,0.6835,0,0.8563,0.9209,0.9578,139,150
99999999,Brighton and Sussex Medical School,CAH01-01-02,Medicine (non-specific),First degree,Q05,0.0145,0.0217,0.0652,0.2681,0.6304,1,0.8290,0.8986,0.9418,138,150
99999999,Brighton and Sussex Medical School,CAH01-01-02,Medicine (non-specific),First degree,Q06,0.0000,0.0000,0.0288,0.2950,0.6763,0,0.9218,0.9712,0.9898,139,150
99999999,Brighton and Sussex Medical School,CAH01-01-02,Medicine (non-specific),First degree,Q07,0.0000,0.0000,0.0144,0.1511,0.8345,0,0.9429,0.9856,0.9965,139,150
99999999,Brighton and Sussex Medical School,CAH01-01-02,Medicine (non-specific),First degree,Q08,0.0216,0.0288,0.0647,0.3957,0.4892,0,0.8131,0.8849,0.9314,139,150
99999999,Brighton and Sussex Medical School,CAH01-01-02,Medicine (non-specific),First degree,Q09,0.0072,0.0288,0.0719,0.5036,0.3885,0,0.8216,0.8921,0.9369,139,150
99999999,Brighton and Sussex Medical School,CAH01-01-02,Medicine (non-specific),First degree,Q10,0.0072,0.0432,0.0791,0.4317,0.4388,0,0.7964,0.8705,0.9203,139,150
99999999,Brighton and Sussex Medical School,CAH01-01-02,Medicine (non-specific),First degree,Q11,0.0288,0.0647,0.0935,0.4532,0.3597,0,0.7314,0.8129,0.8740,139,150
99999999,Brighton and Sussex Medical School,CAH01-01-02,Medicine (non-specific),First degree,Q12,0.0000,0.0072,0.0216,0.2662,0.7050,0,0.9218,0.9712,0.9898,139,150
99999999,Brighton and Sussex Medical School,CAH01-01-02,Medicine (non-specific),First degree,Q13,0.0144,0.0144,0.0504,0.3309,0.5899,0,0.8563,0.9209,0.9578,139,150
99999999,Brighton and Sussex Medical School,CAH01-01-02,Medicine (non-specific),First degree,Q14,0.0149,0.0075,0.0746,0.3134,0.5896,5,0.8331,0.9030,0.9455,134,150
99999999,Brighton and Sussex Medical School,CAH01-01-02,Medicine (non-specific),First degree,Q15,0.0072,0.0288,0.0432,0.4101,0.5108,0,0.8563,0.9209,0.9578,139,150
99999999,Brighton and Sussex Medical School,CAH01-01-02,Medicine (non-specific),First degree,Q16,0.0217,0.0145,0.0797,0.3623,0.5217,1,0.8119,0.8841,0.9309,138,150
